cohort,epoch,patient_id,nfe,psnr_db,ssim,psnr_db_wt,ssim_wt,psnr_db_bg,ssim_bg,latent_mse,latent_l1,latent_cosine,gen_sec,decode_sec
LUMIERE,3,Patient-001__week-044,20,18.780920028686523,0.8864421844482422,11.899499893188477,0.8904231190681458,18.85869598388672,0.8896766304969788,1.4838467836380005,0.9658259749412537,0.15225638449192047,0.8699693940579891,1.1332082180306315
LUMIERE,3,Patient-001__week-056,1,23.37740707397461,0.1856462061405182,8.805583953857422,0.8635903000831604,23.462059020996094,0.18658848106861115,0.8966880440711975,0.7496450543403625,0.3092581033706665,0.04707615077495575,1.0942326309159398
LUMIERE,3,Patient-001__week-056,2,25.11945915222168,0.38147100806236267,9.964543342590332,0.9064218997955322,25.21685791015625,0.38252270221710205,1.0745245218276978,0.8206285834312439,0.20388957858085632,0.09421235136687756,1.2131839441135526
LUMIERE,3,Patient-001__week-056,5,24.400623321533203,0.8934495449066162,9.158476829528809,0.8790227174758911,24.500083923339844,0.8945344090461731,1.3396352529525757,0.9167380332946777,0.14971642196178436,0.22261716332286596,1.1394009897485375
LUMIERE,3,Patient-001__week-056,10,23.64453887939453,0.8897848129272461,8.628643989562988,0.8552874326705933,23.738737106323242,0.8908522725105286,1.4765061140060425,0.9631860852241516,0.13413015007972717,0.4345636749640107,1.0980653539299965
LUMIERE,3,Patient-001__week-056,20,23.462059020996094,0.8857676386833191,7.985565185546875,0.8254322409629822,23.567272186279297,0.8868705630302429,1.5775158405303955,0.9953330159187317,0.12538592517375946,0.8654595613479614,1.0962620191276073
LUMIERE,3,Patient-033__week-000,1,24.777677536010742,0.20113763213157654,15.238028526306152,0.986381471157074,25.042573928833008,0.2079414278268814,0.8546894788742065,0.7315927147865295,0.34792912006378174,0.04794401302933693,1.0921419635415077
LUMIERE,3,Patient-033__week-000,2,25.54546546936035,0.4849257469177246,15.08781909942627,0.9860353469848633,25.883310317993164,0.4920731782913208,1.045740008354187,0.8091135025024414,0.22647792100906372,0.09638076834380627,1.0215629590675235
LUMIERE,3,Patient-033__week-000,5,25.346099853515625,0.8767921328544617,14.500236511230469,0.9714726805686951,25.720195770263672,0.8839124441146851,1.3179473876953125,0.9085786938667297,0.16819718480110168,0.22219397593289614,1.0980348624289036
LUMIERE,3,Patient-033__week-000,10,24.708580017089844,0.873532772064209,13.954733848571777,0.9627314209938049,25.073759078979492,0.880674421787262,1.475111484527588,0.9623165726661682,0.1493828147649765,0.4384551318362355,1.0931313512846828
LUMIERE,3,Patient-033__week-000,20,24.378658294677734,0.8720340728759766,13.8173828125,0.9553031921386719,24.7258358001709,0.8789146542549133,1.5741578340530396,0.9943045973777771,0.1393580287694931,0.8699194518849254,1.0949696190655231
LUMIERE,3,Patient-033__week-002,1,17.443981170654297,0.15054760873317719,13.488837242126465,0.9004909992218018,17.510950088500977,0.15861375629901886,0.8578398823738098,0.7341794371604919,0.34788697957992554,0.04789593443274498,1.1580446045845747
LUMIERE,3,Patient-033__week-002,2,18.254348754882812,0.4526386260986328,13.884791374206543,0.9141890406608582,18.3326358795166,0.4606597423553467,1.0432908535003662,0.8094700574874878,0.2248350828886032,0.0943961227312684,1.1020772634074092
LUMIERE,3,Patient-033__week-002,5,17.676713943481445,0.8647893667221069,13.282819747924805,0.9048989415168762,17.755701065063477,0.8722651600837708,1.313852310180664,0.9093347191810608,0.1668950617313385,0.22432330716401339,1.09666414745152
LUMIERE,3,Patient-033__week-002,10,17.25618553161621,0.8600843548774719,12.507905006408691,0.8750807642936707,17.345834732055664,0.8671897649765015,1.4642505645751953,0.9600271582603455,0.14720697700977325,0.4407271323725581,1.1682611424475908
LUMIERE,3,Patient-033__week-002,20,17.02517318725586,0.8571247458457947,12.725635528564453,0.8948287963867188,17.101470947265625,0.8646748065948486,1.5781162977218628,0.9963383674621582,0.1342218667268753,0.8651802372187376,1.170951365493238
LUMIERE,3,Patient-033__week-006,1,23.928138732910156,0.17918261885643005,13.047369956970215,0.9762519598007202,24.156139373779297,0.1833837330341339,0.8667505383491516,0.7379481196403503,0.34531494975090027,0.04740758426487446,1.145523613318801
LUMIERE,3,Patient-033__week-006,2,25.066085815429688,0.5426823496818542,12.781400680541992,0.9763652682304382,25.392471313476562,0.5469956994056702,1.0621230602264404,0.816584587097168,0.2210434377193451,0.0942329065874219,0.9942821534350514
LUMIERE,3,Patient-033__week-006,5,24.74374771118164,0.868066132068634,12.365865707397461,0.9541727900505066,25.077953338623047,0.8720847964286804,1.3444923162460327,0.9194062352180481,0.16228511929512024,0.22234847582876682,1.175363746471703
LUMIERE,3,Patient-033__week-006,10,24.344676971435547,0.8661119341850281,12.235723495483398,0.9618542790412903,24.656795501708984,0.8704039454460144,1.4783790111541748,0.9639623165130615,0.14505158364772797,0.4402602482587099,1.158356056548655
LUMIERE,3,Patient-033__week-006,20,23.916282653808594,0.8634903430938721,12.151273727416992,0.9442769885063171,24.202228546142578,0.8673731684684753,1.5804864168167114,0.9964026212692261,0.1344786137342453,0.8741813963279128,1.132330885156989
LUMIERE,3,Patient-033__week-031,1,24.723712921142578,0.20583045482635498,21.038593292236328,0.9929724931716919,24.743206024169922,0.20946672558784485,0.8585308194160461,0.7336512207984924,0.35449710488319397,0.04768852796405554,1.0900332797318697
LUMIERE,3,Patient-033__week-031,2,25.47388458251953,0.4555995464324951,21.73503875732422,0.9970200061798096,25.493803024291992,0.4592454731464386,1.04378080368042,0.8088901042938232,0.23440007865428925,0.09484718833118677,1.22104209382087
LUMIERE,3,Patient-033__week-031,5,25.231929779052734,0.8771154880523682,21.39446449279785,0.9952044486999512,25.252639770507812,0.8806084394454956,1.3253127336502075,0.9114885926246643,0.17224372923374176,0.22221985179930925,1.1581602850928903
LUMIERE,3,Patient-033__week-031,10,24.859045028686523,0.8760184049606323,20.845611572265625,0.9932942986488342,24.8812255859375,0.8795581459999084,1.458835482597351,0.9560970664024353,0.15544253587722778,0.43588398303836584,1.0898409467190504
LUMIERE,3,Patient-033__week-031,20,24.5140380859375,0.8737903833389282,20.461942672729492,0.9965901374816895,24.536544799804688,0.8774524331092834,1.5633490085601807,0.9911648631095886,0.14671118557453156,0.8927135225385427,1.094719111919403
LUMIERE,3,Patient-033__week-049,1,23.16307830810547,0.19297678768634796,19.794994354248047,0.9953672289848328,23.185758590698242,0.19624534249305725,0.8246446847915649,0.7186799645423889,0.40708184242248535,0.04787898063659668,1.0947395050898194
LUMIERE,3,Patient-033__week-049,2,24.120149612426758,0.5091022253036499,18.348766326904297,0.9961135983467102,24.174095153808594,0.5125417113304138,1.0180728435516357,0.7981443405151367,0.26738235354423523,0.09449013601988554,0.9762738281860948
LUMIERE,3,Patient-033__week-049,5,22.96065330505371,0.8898418545722961,17.344696044921875,0.9573089480400085,23.012001037597656,0.892985999584198,1.2921745777130127,0.900440514087677,0.19805169105529785,0.2230799738317728,1.09617492929101
LUMIERE,3,Patient-033__week-049,10,22.354389190673828,0.8863124251365662,17.208648681640625,0.9860253930091858,22.398435592651367,0.8896124958992004,1.435033917427063,0.9486801028251648,0.17757968604564667,0.4383010482415557,1.094496880657971
LUMIERE,3,Patient-033__week-049,20,22.04665756225586,0.8841091394424438,16.35062599182129,0.9511773586273193,22.099332809448242,0.8871957063674927,1.518088936805725,0.9761291742324829,0.16861136257648468,0.8651467384770513,1.095858247950673
LUMIERE,3,Patient-033__week-063,1,23.76123809814453,0.1954347938299179,21.336688995361328,0.989047646522522,23.774168014526367,0.19839544594287872,0.8239758610725403,0.7174406051635742,0.41299954056739807,0.0473087290301919,1.2012983979657292
LUMIERE,3,Patient-033__week-063,2,24.979164123535156,0.40945929288864136,21.61937713623047,0.9909703731536865,24.999372482299805,0.4128190577030182,1.0082566738128662,0.7935646772384644,0.2747817933559418,0.0955745242536068,1.2355495681986213
LUMIERE,3,Patient-033__week-063,5,23.91351890563965,0.8907215595245361,19.334117889404297,0.9737441539764404,23.945940017700195,0.8937714099884033,1.2921884059906006,0.8999446034431458,0.2016880065202713,0.22304920386523008,1.0939617324620485
LUMIERE,3,Patient-033__week-063,10,23.44265365600586,0.891044557094574,18.59575653076172,0.9704951047897339,23.47824478149414,0.8940854072570801,1.4317799806594849,0.9477828741073608,0.1807119995355606,0.4406886827200651,1.181162673048675
LUMIERE,3,Patient-033__week-063,20,23.149436950683594,0.8875830173492432,18.42983055114746,0.972388505935669,23.183496475219727,0.8909350633621216,1.519431233406067,0.9759941697120667,0.17070353031158447,0.8723728703334928,1.1952608628198504
LUMIERE,3,Patient-033__week-076,1,23.160200119018555,0.19972960650920868,19.600393295288086,0.980555534362793,23.189167022705078,0.20349986851215363,0.8227854371070862,0.7177102565765381,0.4156879484653473,0.04733408335596323,1.1540069682523608
LUMIERE,3,Patient-033__week-076,2,24.008310317993164,0.4021841585636139,19.593238830566406,0.9891868233680725,24.048603057861328,0.4063095450401306,1.0054373741149902,0.7929997444152832,0.2772078812122345,0.0949294613674283,0.9960677903145552
LUMIERE,3,Patient-033__week-076,5,23.367033004760742,0.8906311392784119,18.9525146484375,0.9854581952095032,23.407316207885742,0.8946957588195801,1.2824159860610962,0.8965992331504822,0.20456968247890472,0.22442801669239998,1.1827239273115993
LUMIERE,3,Patient-033__week-076,10,22.639331817626953,0.8875896334648132,17.315261840820312,0.9604334235191345,22.694416046142578,0.8914584517478943,1.4371461868286133,0.9499695897102356,0.1818435937166214,0.44376986380666494,1.12498914077878
LUMIERE,3,Patient-033__week-076,20,22.633861541748047,0.8868628740310669,17.66718292236328,0.9604465961456299,22.682754516601562,0.8908210396766663,1.5360424518585205,0.9823432564735413,0.1701321005821228,0.8798082508146763,1.1565324449911714
LUMIERE,3,Patient-033__week-084,1,23.315750122070312,0.20137453079223633,17.441417694091797,0.9737913012504578,23.367324829101562,0.20523566007614136,0.8265272378921509,0.7196265459060669,0.4117947816848755,0.04806250333786011,1.1774723958224058
LUMIERE,3,Patient-033__week-084,2,24.35544204711914,0.39063936471939087,18.365022659301758,0.9831552505493164,24.408912658691406,0.3946782052516937,1.0076860189437866,0.7946571707725525,0.27633607387542725,0.09427302982658148,1.0923949079588056
LUMIERE,3,Patient-033__week-084,5,23.6722469329834,0.8905554413795471,17.28498649597168,0.9743333458900452,23.732603073120117,0.8945905566215515,1.2842378616333008,0.8976584672927856,0.2024003565311432,0.22814256884157658,1.1839326098561287
LUMIERE,3,Patient-033__week-084,10,22.864845275878906,0.8889601826667786,15.410012245178223,0.9391635656356812,22.94724464416504,0.8925827741622925,1.4419032335281372,0.9507464170455933,0.18073219060897827,0.43958842009305954,1.1384756341576576
LUMIERE,3,Patient-033__week-084,20,22.386884689331055,0.8852643370628357,15.48290729522705,0.9390966296195984,22.457218170166016,0.8891382813453674,1.5268763303756714,0.9793150424957275,0.17011940479278564,0.8699996881186962,1.1601531486958265
LUMIERE,3,Patient-033__week-095,1,24.425968170166016,0.1806953251361847,19.188508987426758,0.9848249554634094,24.490243911743164,0.18722416460514069,0.8579192161560059,0.7337404489517212,0.3535735309123993,0.0475251916795969,1.0926052993163466
LUMIERE,3,Patient-033__week-095,2,25.48283576965332,0.5672342777252197,20.05013656616211,0.9894698858261108,25.55136489868164,0.5739884972572327,1.0563576221466064,0.8139151930809021,0.22718460857868195,0.09547528624534607,1.0840822495520115
LUMIERE,3,Patient-033__week-095,5,25.42662811279297,0.8704273104667664,20.342933654785156,0.9936115741729736,25.48769187927246,0.8769695162773132,1.325168490409851,0.9120751023292542,0.16983769834041595,0.22187087684869766,1.145284017547965
LUMIERE,3,Patient-033__week-095,10,24.75271987915039,0.8686736822128296,19.458213806152344,0.9917009472846985,24.818220138549805,0.8752603530883789,1.492504358291626,0.9681860208511353,0.15041117370128632,0.4349545566365123,1.088314276188612
LUMIERE,3,Patient-033__week-095,20,24.849853515625,0.867163896560669,19.03672981262207,0.9922483563423157,24.927249908447266,0.8737699389457703,1.5631957054138184,0.9909849762916565,0.14279885590076447,0.9850484123453498,1.0971342669799924
LUMIERE,3,Patient-033__week-104,1,22.32748794555664,0.1722317934036255,18.22844696044922,0.9649874567985535,22.42009162902832,0.18165898323059082,0.8553563952445984,0.732136607170105,0.37407010793685913,0.04737084172666073,1.094018392264843
LUMIERE,3,Patient-033__week-104,2,23.56515884399414,0.4956408143043518,18.462221145629883,0.9646022915840149,23.697795867919922,0.5054572820663452,1.0514390468597412,0.8117702603340149,0.24272309243679047,0.09463755693286657,1.2003832953050733
LUMIERE,3,Patient-033__week-104,5,23.0164794921875,0.8773155808448792,17.239730834960938,0.9505906105041504,23.181941986083984,0.8865492343902588,1.3193848133087158,0.9103379249572754,0.18141596019268036,0.22152672708034515,1.094797745347023
LUMIERE,3,Patient-033__week-104,10,22.212337493896484,0.872331976890564,16.701780319213867,0.95224928855896,22.364192962646484,0.8817065358161926,1.472382664680481,0.9617646336555481,0.16257572174072266,0.4982491973787546,1.0981064923107624
LUMIERE,3,Patient-033__week-104,20,21.87250518798828,0.8701273798942566,16.236196517944336,0.9454756379127502,22.03067970275879,0.8791069388389587,1.5593401193618774,0.9894722700119019,0.15250051021575928,0.8825965756550431,1.0954053550958633
